Dates,Total Entries,Total Exits
2017-01-02,2702521,2119173
2017-01-03,5158369,3826541
2017-01-04,5528757,4088662
2017-01-05,5499672,4065606
2017-01-06,5383336,4002820
2017-01-07,2656627,2128379
2017-01-08,2181304,1756702
2017-01-09,5181069,3791830
2017-01-10,5412855,3976188
2017-01-11,5508468,4058459
2017-01-12,5559315,4084617
2017-01-13,5531556,4094826
2017-01-14,2864918,2276119
2017-01-15,2411349,1934804
2017-01-16,3328420,2580174
2017-01-17,5406392,3973130
2017-01-18,5518725,4051038
2017-01-19,5642802,4144892
2017-01-20,5427748,4028423
2017-01-21,3271345,2556298
2017-01-22,2235642,1809456
2017-01-23,5085938,3753351
2017-01-24,5216258,3845266
2017-01-25,5546973,4099120
2017-01-26,5527055,4159699
2017-01-27,5414828,4152361
2017-01-28,3038503,2520813
2017-01-29,2420505,2048388
2017-01-30,5323583,4018592
2017-01-31,5533316,4125368
2017-02-01,5705524,4208737
2017-02-02,5742007,4224997
2017-02-03,5638168,4145945
2017-02-04,3047392,2414142
2017-02-05,2326007,1865566
2017-02-06,5472695,4028762
2017-02-07,5603274,4167947
2017-02-08,5836208,4253855
2017-02-09,2985004,2341824
2017-02-10,5610766,4113505
2017-02-11,3192545,2520536
2017-02-12,2163244,1764521
2017-02-13,5409678,3972849
2017-02-14,5805992,4239014
2017-02-15,5791539,4225537
2017-02-16,5691197,4175935
2017-02-17,5600456,4129242
2017-02-18,3114047,2451629
2017-02-19,2634483,2109485
2017-02-20,3254369,2500111
2017-02-21,5314837,4018005
2017-02-22,5421135,4069432
2017-02-23,5514044,4143891
2017-02-24,5410212,4083709
2017-02-25,3004326,2409225
2017-02-26,2359922,1913570
2017-02-27,5531697,4080115
2017-02-28,5737403,4235495
2017-03-01,5726591,4239927
2017-03-02,5879896,4332893
2017-03-03,5746167,4242437
2017-03-04,3026638,2412923
2017-03-05,2327675,1881979
2017-03-06,5669931,4115666
2017-03-07,5792550,4257930
2017-03-08,5919785,4357172
2017-03-09,5916645,4364411
2017-03-10,5505194,4099774
2017-03-11,3025436,2407912
2017-03-12,2374992,1910591
2017-03-13,5715956,4189039
2017-03-14,1088622,946194
2017-03-15,5539393,4073560
2017-03-16,6088916,4478076
2017-03-17,6071972,4495862
2017-03-18,3120959,2480933
2017-03-19,2586666,2064102
2017-03-20,5643504,4171042
2017-03-21,5836221,4308631
2017-03-22,5801690,4315745
2017-03-23,5858661,4319025
2017-03-24,5738824,4302525
2017-03-25,3225527,2569861
2017-03-26,2397351,1939268
2017-03-27,5521158,4067742
2017-03-28,5723196,4219509
2017-03-29,5928359,4369320
2017-03-30,5948283,4398421
2017-03-31,5600993,4168359
2017-04-01,3173370,2555126
2017-04-02,2630539,2152936
2017-04-03,5771781,4326053
2017-04-04,5712804,4289509
2017-04-05,5976417,4512458
2017-04-06,5730402,4335477
2017-04-07,5845640,4354986
2017-04-08,3343240,2670712
2017-04-09,2708708,2189847
2017-04-10,5298495,3995181
2017-04-11,5434448,4128451
2017-04-12,5392729,4106134
2017-04-13,5606982,4238185
2017-04-14,4940983,3800219
2017-04-15,3211223,2535967
2017-04-16,2533991,2052224
2017-04-17,5035859,3831505
2017-04-18,5389079,4071108
2017-04-19,5870497,4337260
2017-04-20,5863435,4342523
2017-04-21,5777906,4267231
2017-04-22,3357165,2688309
2017-04-23,2639261,2122677
2017-04-24,5628856,4155004
2017-04-25,5733639,4244321
2017-04-26,5831685,4312666
2017-04-27,5969586,4409787
2017-04-28,5903601,4363404
2017-04-29,3392686,2691641
2017-04-30,2560670,2062423
2017-05-01,5647308,4167719
2017-05-02,5878967,4353824
2017-05-03,5935362,4393083
2017-05-04,5967405,4416353
2017-05-05,5443402,4072557
2017-05-06,3184118,2558732
2017-05-07,2513736,2025890
2017-05-08,5653139,4198042
2017-05-09,5829807,4335936
2017-05-10,5882179,4368722
2017-05-11,5929039,4390375
2017-05-12,5831098,4340063
2017-05-13,2684529,2171665
2017-05-14,2450116,1973456
2017-05-15,5640991,4177552
2017-05-16,5908731,4370435
2017-05-17,5993925,4437376
2017-05-18,5990573,4446911
2017-05-19,5834992,4333591
2017-05-20,3342421,2648128
2017-05-21,2661651,2130805
2017-05-22,5467121,4077500
2017-05-23,5857896,4361474
2017-05-24,5894547,4385806
2017-05-25,5687154,4212694
2017-05-26,5438449,4039427
2017-05-27,2892878,2307181
2017-05-28,2476075,1989231
2017-05-29,2268742,1805176
2017-05-30,5515258,4117442
2017-05-31,5640629,4229667
2017-06-01,5755024,4305900
2017-06-02,5730782,4306799
2017-06-03,3250062,2588994
2017-06-04,2526904,2044877
2017-06-05,5570201,4151486
2017-06-06,5798658,4327771
2017-06-07,5941582,4435686
2017-06-08,5754512,4327654
2017-06-09,5769320,4325845
2017-06-10,3359268,2675864
2017-06-11,2705003,2175018
2017-06-12,5500593,4160416
2017-06-13,5702594,4305544
2017-06-14,5788067,4338200
2017-06-15,5852650,4385681
2017-06-16,5533314,4176251
2017-06-17,3021771,2431908
2017-06-18,2500258,2035272
2017-06-19,5299867,4008045
2017-06-20,5701513,4289374
2017-06-21,5696912,4309487
2017-06-22,5715949,4331802
2017-06-23,5456110,4127523
2017-06-24,3213989,2570976
2017-06-25,2946304,2363472
2017-06-26,5281524,4031063
2017-06-27,5543566,4211068
2017-06-28,5702659,4335844
2017-06-29,5549159,4232671
2017-06-30,5263187,4008822
2017-07-01,2793597,2244251
2017-07-02,2485952,2052525
2017-07-03,3966082,3095253
2017-07-04,2662426,2150223
2017-07-05,5012843,3833609
2017-07-06,5099548,3831142
2017-07-07,5151474,3923363
2017-07-08,3052635,2423678
2017-07-09,2543423,2042428
2017-07-10,5248167,4020391
2017-07-11,5429598,4155093
2017-07-12,5480364,4204478
2017-07-13,5421848,4159501
2017-07-14,5141837,3958008
2017-07-15,3147769,2513245
2017-07-16,2577824,2075082
2017-07-17,5255991,4021202
2017-07-18,5475682,4200989
2017-07-19,5529993,4228529
2017-07-20,5523868,4207900
2017-07-21,5277021,4034215
2017-07-22,3015106,2409867
2017-07-23,2392956,1931904
2017-07-24,5038284,3880092
2017-07-25,5467236,4173767
2017-07-26,5575061,4259701
2017-07-27,5527525,4217403
2017-07-28,5315857,4042323
2017-07-29,2997584,2412013
2017-07-30,2561322,2058704
2017-07-31,5150468,3938035
2017-08-01,5370607,4082794
2017-08-02,5372915,4112372
2017-08-03,5447493,4156934
2017-08-04,5202828,3985481
2017-08-05,2971585,2374370
2017-08-06,2518237,2021113
2017-08-07,4875375,3744121
2017-08-08,5350448,4078079
2017-08-09,5385764,4113017
2017-08-10,5371737,4107087
2017-08-11,5167624,3963324
2017-08-12,2937436,2367751
2017-08-13,2536362,2038421
2017-08-14,4989487,3835488
2017-08-15,5137186,3941102
2017-08-16,5271724,4043933
2017-08-17,5283350,4012451
2017-08-18,4770148,3674635
2017-08-19,2983035,2371807
2017-08-20,2431584,1959077
2017-08-21,4762881,3675502
2017-08-22,5016672,3858559
2017-08-23,5062165,3891392
2017-08-24,5084443,3909815
2017-08-25,5017366,3845359
2017-08-26,2939690,2340876
2017-08-27,2392174,1927324
2017-08-28,5000282,3818209
2017-08-29,5128536,3898761
2017-08-30,5261906,4028414
2017-08-31,5209230,3961490
2017-09-01,4906221,3751653
2017-09-02,2788343,2291475
2017-09-03,2280230,1859672
2017-09-04,2592847,2049338
2017-09-05,5261418,3992451
2017-09-06,5413202,4090974
2017-09-07,5784904,4321966
2017-09-08,5743718,4263373
